path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_scaffolding_01_wet_2.vmdl_c crc=57A5FB78 size=394.30KB size_in_bytes=403765
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_scaffolding_plywood_01_wet_0.vmdl_c crc=7072FAC0 size=6.62KB size_in_bytes=6781
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_sculpture_floor_relief_02b_wet_0.vmdl_c crc=35DF0769 size=102.38KB size_in_bytes=104833
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_sculpture_floor_relief_02_wet_0.vmdl_c crc=DA48FABD size=144.24KB size_in_bytes=147697
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_signs_01_wet_0.vmdl_c crc=64D7F210 size=1005.84KB size_in_bytes=1029985
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_signs_01_wet_1.vmdl_c crc=2CDB19BA size=104.95KB size_in_bytes=107473
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_skybox_bldg_a_0.vmdl_c crc=7DFCE909 size=50.30KB size_in_bytes=51505
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_skybox_bldg_b_0.vmdl_c crc=705F44F6 size=33.25KB size_in_bytes=34049
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_skybox_bldg_c_0.vmdl_c crc=123436B8 size=51.36KB size_in_bytes=52593
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_skybox_tree_cards_01_color_0.vmdl_c crc=1B869065 size=14.04KB size_in_bytes=14381
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_skybox_underbrush_cards_01_0.vmdl_c crc=6A059870 size=39.70KB size_in_bytes=40653
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_wood_ceiling_edges_01_wet_0.vmdl_c crc=525A91A0 size=1.13MB size_in_bytes=1182317
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_ancient_wood_formwork_01_wet_0.vmdl_c crc=32F0110C size=938.45KB size_in_bytes=960969
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_aztec_lighting_jobsite_01_0.vmdl_c crc=8009D6D1 size=344.10KB size_in_bytes=352362
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_aztec_lighting_jobsite_01_base_0.vmdl_c crc=8401A879 size=8.19KB size_in_bytes=8382
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_aztec_lighting_jobsite_01_reflectors_lit_0.vmdl_c crc=EB32446F size=87.99KB size_in_bytes=90104
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_aztec_pottery_01_0.vmdl_c crc=A80357BB size=53.35KB size_in_bytes=54626
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_aztec_scaffolding_pipejack_01_color_0.vmdl_c crc=9E8A06BB size=186.56KB size_in_bytes=191042
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_black_simple_0.vmdl_c crc=F7F7988F size=163.20KB size_in_bytes=167118
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_dust_wood_pallet_0.vmdl_c crc=4857BCF7 size=18.25KB size_in_bytes=18690
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_banyan_leaves_01_0.vmdl_c crc=7434FB76 size=3.71MB size_in_bytes=3886918
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_banyan_leaves_01_1.vmdl_c crc=DD8E85FD size=660.19KB size_in_bytes=676038
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_banyan_trunk_01_0.vmdl_c crc=56B7BE26 size=10.16MB size_in_bytes=10650534
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_01-moss-topmoss-wet-b_0.vmdl_c crc=B573CC1D size=89.11KB size_in_bytes=91245
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_02-moss-topmoss-wet-b_0.vmdl_c crc=4DB30A84 size=1.27MB size_in_bytes=1329965
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_02-moss-topmoss-wet-b_1.vmdl_c crc=758C8578 size=555.28KB size_in_bytes=568605
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_03-moss-topmoss-wet-b_0.vmdl_c crc=A1354CE8 size=285.65KB size_in_bytes=292509
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_decotrim_set_03-moss-topmoss-wet-b_1.vmdl_c crc=4DAD53EA size=760.97KB size_in_bytes=779229
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundcarvings01-grounddirt01-wet_0.vmdl_c crc=EADD2788 size=24.00KB size_in_bytes=24572
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundcarvings01-grounddirt04-wet_0.vmdl_c crc=D3BB5EAA size=8.14KB size_in_bytes=8332
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundcarvings01-moss02-wet-b_0.vmdl_c crc=C0B4CEE4 size=9.96KB size_in_bytes=10202
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundmud01-groundrock01-wet_0.vmdl_c crc=83C25794 size=53.71KB size_in_bytes=55000
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundmud03-grounddirt03-wet_0.vmdl_c crc=C9E55CAA size=27.01KB size_in_bytes=27656
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundmud03-groundmoss02-wet-b_0.vmdl_c crc=00F85D97 size=20.55KB size_in_bytes=21047
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundmud03-groundmoss02-wet-b_1.vmdl_c crc=DEE9DE74 size=226.43KB size_in_bytes=231863
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-grounddirt01-moss-02-wet_0.vmdl_c crc=D07DCA6B size=23.91KB size_in_bytes=24480
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-grounddirt02-wet_0.vmdl_c crc=55AF51BD size=5.68KB size_in_bytes=5816
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-grounddirt02-wet_1.vmdl_c crc=4989C872 size=18.30KB size_in_bytes=18744
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-groundmoss02-wet-b_0.vmdl_c crc=A1F38EC8 size=5.53KB size_in_bytes=5660
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver01-groundmoss02-wet-b_1.vmdl_c crc=15C024A8 size=16.59KB size_in_bytes=16988
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundpaver02-grounddirt04-wet_0.vmdl_c crc=6B7F8B05 size=66.40KB size_in_bytes=67992
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock01-grounddirt01-moss-02-wet_0.vmdl_c crc=787FDF15 size=94.95KB size_in_bytes=97232
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock01-groundmoss02-wet-b_0.vmdl_c crc=5BFED828 size=8.73KB size_in_bytes=8940
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock02-groundmoss02-wet-b_0.vmdl_c crc=86BD7EA0 size=69.04KB size_in_bytes=70700
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock04-grounddirt03-wet_0.vmdl_c crc=C1FB0973 size=8.41KB size_in_bytes=8616
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock04-groundmoss02-wet-b_0.vmdl_c crc=406690ED size=192.54KB size_in_bytes=197164
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_groundrock04-groundmud03-wet-b_0.vmdl_c crc=FF643EF0 size=16.88KB size_in_bytes=17288
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_river_rock_01-topmoss-wet-b_0.vmdl_c crc=EAB4DD53 size=431.12KB size_in_bytes=441464
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_river_rock_01-topmoss-wet-b_1.vmdl_c crc=BA3E8D14 size=47.13KB size_in_bytes=48264
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_roofstone01-moss-topmoss-wet-b_0.vmdl_c crc=35F80BB7 size=28.77KB size_in_bytes=29465
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_roofstone01-moss-wet-b_0.vmdl_c crc=4B988AEA size=24.19KB size_in_bytes=24770
path=maps/de_ancient/worldnodes/n0_lr0_agg_merge_hr_ancient_blend_roof_trim_grey-moss-topmoss-wet-b_0.vmdl_c crc=76ED3ACE size=1.12MB size_in_bytes=1174845
