Content Manifest for Depot 2347773

Manifest ID / date     : 1309483716239998645 / 2026-08-10T21:38:41.0000000Z
Total number of files  : 133
Total number of chunks : 7041
Total bytes on disk    : 7172328569
Total bytes compressed : 4604824784

          Size Chunks File SHA                                 Flags Name
     106683273    104 69fd5dabd76de1595e343a2a75c0d13cf0666b79     0 game\csgo_community_addons\cs_shelter\cs_shelter_008.vpk
     109384382    105 0e6c87b50d16e4fa426486b734fda9ac60d5104c     0 game\csgo_community_addons\cs_shelter\cs_shelter_009.vpk
     106183080    104 090983c38d4a3a5f347265d2c0dcf24083445d5c     0 game\csgo_community_addons\cs_shelter\cs_shelter_010.vpk
     105355608    101 353a8d3e66a6f31364284f95363aa2b1c4394762     0 game\csgo_community_addons\cs_shelter\cs_shelter_011.vpk
     107835069    107 25bda58fef3c7d5f582c7c65484daf97426f5d29     0 game\csgo_community_addons\cs_shelter\cs_shelter_012.vpk
       9717887     10 e2694b152234c6966fc3c35ee0dc5ed68ba51bf2     0 game\csgo_community_addons\cs_shelter\cs_shelter_013.vpk
         95707      1 e9cc13d9dc71145bbbf7e77ff1906a1542e3e7ac     0 game\csgo_community_addons\cs_shelter\cs_shelter_dir.vpk
     104941772    101 666d4579fb3a69dbac99787eb39c55ab382fac9a     0 game\csgo_community_addons\de_boulder\de_boulder_000.vpk
     127181764    122 909b2e94880b089a9e361b1b78299291d97aeb80     0 game\csgo_community_addons\de_boulder\de_boulder_001.vpk
     106724271    103 6bbfd94b22b987fb08691658f16767565d0211e0     0 game\csgo_community_addons\de_boulder\de_boulder_002.vpk
     106905906    102 141d508d05a21521c5b5cef7f99b991a999763b7     0 game\csgo_community_addons\de_boulder\de_boulder_003.vpk
     106004645    102 b17cef646fead0ac5107091db28601442a6bca5a     0 game\csgo_community_addons\de_boulder\de_boulder_004.vpk
     108726911    104 232d74f85e234c4237d38af7b0ed508c6bce6ef5     0 game\csgo_community_addons\de_boulder\de_boulder_005.vpk
     109143684    105 23f6d2f506287050d792a97b284287e124845185     0 game\csgo_community_addons\de_boulder\de_boulder_006.vpk
     110146292    106 93330cabb7d3b423f22ef15ad9963f785eee42d2     0 game\csgo_community_addons\de_boulder\de_boulder_007.vpk
     107698476    105 3fafc94dd725586673114cc6c9bcf03ec77ff47e     0 game\csgo_community_addons\de_boulder\de_boulder_008.vpk
     107698124    105 006abc7398306b5d279884127d9a45d7986f5892     0 game\csgo_community_addons\de_boulder\de_boulder_009.vpk
     105721438    104 381a48779da59b282548606d1a4af9fcabc73266     0 game\csgo_community_addons\de_boulder\de_boulder_010.vpk
     107822852    107 686e8bad1cf7e4084998c4f3fb0a984f1278dcb9     0 game\csgo_community_addons\de_boulder\de_boulder_011.vpk
     109112976    107 19875016dbf820d3b41eb697611f675bba21f691     0 game\csgo_community_addons\de_boulder\de_boulder_012.vpk
     107733152    106 32dfaa927044f2f33548cdec13ca7565524cca67     0 game\csgo_community_addons\de_boulder\de_boulder_013.vpk
     105244880    103 6ef3f6e739c0086dd893e55336a040e7f9eb3ebd     0 game\csgo_community_addons\de_boulder\de_boulder_014.vpk
     105329316    102 08c7db14d1b7fc90d08e6fe48e27a0f78c3d4320     0 game\csgo_community_addons\de_boulder\de_boulder_015.vpk
      98947962     98 790be08dbee7b8a8a192aed5c46fe5de60261c79     0 game\csgo_community_addons\de_boulder\de_boulder_016.vpk
        185021      1 6a8d2918abd54c23973e5442c98b0b7cbd22515a     0 game\csgo_community_addons\de_boulder\de_boulder_dir.vpk
     105039795    103 c0a2726c8c1c73762f578a7d2e91a95f58678a98     0 game\csgo_community_addons\de_debris\de_debris_000.vpk
     107269718    105 a9a2829dbecedc64146410548e6cab7dc749c14c     0 game\csgo_community_addons\de_debris\de_debris_001.vpk
     106054491    102 bcdcf8908307380cbe3e9b17a66c50af6775eaf7     0 game\csgo_community_addons\de_debris\de_debris_002.vpk
     105827848    102 4f2b622cd241e583ef2a99b988e8754c7827a0c5     0 game\csgo_community_addons\de_debris\de_debris_003.vpk
     125281265    123 f7e6342541e87d4d7269592827959aa0ca1224ae     0 game\csgo_community_addons\de_debris\de_debris_004.vpk
        319780      1 d126484855641b9e39155971e9d0de6888b20624     0 game\csgo_community_addons\de_debris\de_debris_005.vpk
         34647      1 160f55de82ca3ab1d77fed4f7c26c5f77015e1dc     0 game\csgo_community_addons\de_debris\de_debris_dir.vpk
     109711064    106 b57d4faee5645e67cdf6056e4e40bfe981cf72af     0 game\csgo_community_addons\de_eldorado\de_eldorado_000.vpk
     106357416    102 a3399e9648db92aecf41caa9ded372f24dcea61d     0 game\csgo_community_addons\de_eldorado\de_eldorado_001.vpk
     106328156    102 539bbce31290cba89f5bb03336a35d4efb9dbd84     0 game\csgo_community_addons\de_eldorado\de_eldorado_002.vpk
     107064628    103 154701d84cf7fb3ff5c731ffe9bce296046e21bd     0 game\csgo_community_addons\de_eldorado\de_eldorado_003.vpk
     106348272    102 87e920af70d151e42c24d64a6589ca6ae4ed702a     0 game\csgo_community_addons\de_eldorado\de_eldorado_004.vpk
      97479189     97 053322265d78ad034720d14beda2baea4b5b015a     0 game\csgo_community_addons\de_eldorado\de_eldorado_005.vpk
         38350      1 d30ee9476a4990e590695f371a422c093008da0c     0 game\csgo_community_addons\de_eldorado\de_eldorado_dir.vpk
     108563999    104 775f83bac69b6244cf7b8b276685f11b6c3d61f3     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_000.vpk
     107760754    109 89bf2c531c6f778319a278c4704073e4b812c972     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_001.vpk
     108318548    107 18f94862241ddb2cf95bfda63c0b64636e0d3fbb     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_002.vpk
     107754156    109 772033884e364ca163ea326739c8f171fc586504     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_003.vpk
     108337537    107 c1eb8497a615e2bd2672cc09a3da4f92a30805b8     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_004.vpk
     109881539    107 50336fff324c84a1005a1b20a0185eabb22bc462     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_005.vpk
     107091610    109 262e9e15f5d76e1be4a48dc7f1016fcb86029d8a     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_006.vpk
     105344237    105 8f8fe1a7f62dbdc72c99c6d31c6c25e9f30aa63b     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_007.vpk
     104924396    103 f1327f2f17a7bfcf4175ebc5a4451944f42bde6a     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_008.vpk
     107313981    106 183bf264d4aa63e32c2af83c1a88525dd0f8f698     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_009.vpk
     106671597    105 c632bbddbe999ce823c187cb643082b671318b86     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_010.vpk
     106337325    108 7d535b6931caaaaa2bc8e25d0e375b397f2855de     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_011.vpk
     109328538    108 76daebfc88ce13c84dc4bd580464bcfc926ba218     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_012.vpk
     107659846    106 07ccda63c16f39c215f35c495306859e8c433a69     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_013.vpk
     106331041    108 c066036752a9997dd753123451e75bda3838a62b     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_014.vpk
     104918092    104 caf840123c812e17ba15797ca3a01245216e6187     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_015.vpk
     104860485    107 d1c62686ed26ba99414d603ac78ebf763ba2470c     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_016.vpk
      91956667     91 fab509558bc7cfccade00c1b542916528bc2b1c9     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_017.vpk
        141851      1 7fb0948a0a6f643985033563e8e20032de23fe03     0 game\csgo_community_addons\de_fachwerk\de_fachwerk_dir.vpk
     104986147    102 f27723fc3e7de8002d875ef29ac3f6fea321bdb5     0 game\csgo_community_addons\de_poseidon\de_poseidon_000.vpk
     107170728    104 df130376866b34df682f0d9fd39c2c956fcf3a31     0 game\csgo_community_addons\de_poseidon\de_poseidon_001.vpk
     105640796    103 a83ca2cd21d173539a646b3943f45e4505e855b9     0 game\csgo_community_addons\de_poseidon\de_poseidon_002.vpk
      90242021     88 ca054905e3fd87f103c9c95dc2455b2b51aff7e2     0 game\csgo_community_addons\de_poseidon\de_poseidon_003.vpk
         24357      1 dd526a07922c4004c5316b9d3b79677d9f8999fe     0 game\csgo_community_addons\de_poseidon\de_poseidon_dir.vpk
